Level_1,Level_2,Level_3,Level_4,Level_5,Level_6
clothing & accessories,clothing,kids' clothing,girls' clothing,swimwear,
clothing & accessories,clothing,kids' clothing,girls' clothing,underwear,
clothing & accessories,clothing,kids' clothing,girls' clothing,tops & t-shirts,
clothing & accessories,clothing,kids' clothing,girls' clothing,sweatshirts & hoodies,
clothing & accessories,clothing,kids' clothing,girls' clothing,skirts,
clothing & accessories,clothing,kids' clothing,girls' clothing,socks & tights,
clothing & accessories,clothing,kids' clothing,girls' clothing,shorts,
clothing & accessories,clothing,kids' clothing,girls' clothing,sleepwear,
clothing & accessories,clothing,kids' clothing,girls' clothing,pants,
clothing & accessories,clothing,kids' clothing,girls' clothing,sweaters,
clothing & accessories,clothing,kids' clothing,girls' clothing,outerwear,
clothing & accessories,clothing,kids' clothing,girls' clothing,jeans,
clothing & accessories,clothing,kids' clothing,girls' clothing,jumpsuits & rompers,
clothing & accessories,clothing,kids' clothing,girls' clothing,leggings,
clothing & accessories,clothing,kids' clothing,girls' clothing,outfits & sets,
clothing & accessories,clothing,kids' clothing,girls' clothing,dresses,
clothing & accessories,clothing,kids' clothing,girls' clothing,,
clothing & accessories,clothing,kids' clothing,boys' clothing,socks,
clothing & accessories,clothing,kids' clothing,boys' clothing,suits,
clothing & accessories,clothing,kids' clothing,boys' clothing,underwear,
clothing & accessories,clothing,kids' clothing,boys' clothing,sweatshirts & hoodies,
clothing & accessories,clothing,kids' clothing,boys' clothing,sweaters,
clothing & accessories,clothing,kids' clothing,boys' clothing,swimwear,
clothing & accessories,clothing,kids' clothing,boys' clothing,tops & t-shirts,
clothing & accessories,clothing,kids' clothing,boys' clothing,sleepwear,
clothing & accessories,clothing,kids' clothing,boys' clothing,outfits & sets,
clothing & accessories,clothing,kids' clothing,boys' clothing,pants,
clothing & accessories,clothing,kids' clothing,boys' clothing,shorts,
clothing & accessories,clothing,kids' clothing,boys' clothing,jeans,
clothing & accessories,clothing,kids' clothing,boys' clothing,outerwear,
clothing & accessories,clothing,kids' clothing,boys' clothing,,
clothing & accessories,clothing,kids' clothing,,,
clothing & accessories,clothing,baby clothing,girls' baby clothing,tops,
clothing & accessories,clothing,baby clothing,girls' baby clothing,swimwear,
clothing & accessories,clothing,baby clothing,girls' baby clothing,dresses,
clothing & accessories,clothing,baby clothing,girls' baby clothing,sleepwear,
clothing & accessories,clothing,baby clothing,girls' baby clothing,outerwear,
clothing & accessories,clothing,baby clothing,girls' baby clothing,bottoms,
clothing & accessories,clothing,baby clothing,girls' baby clothing,sweaters,
clothing & accessories,clothing,baby clothing,girls' baby clothing,outfits & sets,
clothing & accessories,clothing,baby clothing,girls' baby clothing,socks,
clothing & accessories,clothing,baby clothing,girls' baby clothing,bodysuits,
clothing & accessories,clothing,baby clothing,girls' baby clothing,,
clothing & accessories,clothing,baby clothing,boys' baby clothing,suits,
clothing & accessories,clothing,baby clothing,boys' baby clothing,swimwear,
clothing & accessories,clothing,baby clothing,boys' baby clothing,sweaters,
clothing & accessories,clothing,baby clothing,boys' baby clothing,socks,
clothing & accessories,clothing,baby clothing,boys' baby clothing,tops,
clothing & accessories,clothing,baby clothing,boys' baby clothing,bodysuits,
clothing & accessories,clothing,baby clothing,boys' baby clothing,sleepwear,
clothing & accessories,clothing,baby clothing,boys' baby clothing,bottoms,
clothing & accessories,clothing,baby clothing,boys' baby clothing,outerwear,
clothing & accessories,clothing,baby clothing,boys' baby clothing,outfits & sets,
clothing & accessories,clothing,baby clothing,boys' baby clothing,,
clothing & accessories,clothing,baby clothing,,,
clothing & accessories,clothing,,,,
clothing & accessories,,,,,
other,,,,,
clothing & accessories,clothing,men's clothing,tops,,
clothing & accessories,clothing,men's clothing,tops,activewear tops,
clothing & accessories,clothing,men's clothing,tops,sleepwear tops,
clothing & accessories,clothing,men's clothing,bottoms,,
clothing & accessories,clothing,men's clothing,bottoms,activewear bottoms,
clothing & accessories,clothing,men's clothing,bottoms,sleepwear bottoms,
clothing & accessories,clothing,women's clothing,tops,,
clothing & accessories,clothing,women's clothing,tops,activewear tops,
clothing & accessories,clothing,women's clothing,tops,swimwear tops,
clothing & accessories,clothing,women's clothing,bottoms,,
clothing & accessories,clothing,women's clothing,bottoms,swimwear bottoms,
clothing & accessories,clothing,men's clothing,swimwear,,
baby products,baby bathing,baby scales,,,
baby products,baby bathing,bath accessories,,,
baby products,baby bathing,bath tub seats & floats,,,
baby products,baby bathing,bath tubs,,,
baby products,baby bathing,shampoo & soap,,,
baby products,baby bathing,shower visors,,,
baby products,baby bathing,skin care,,,
baby products,baby bathing,towels & washcloths,,,
baby products,baby feeding,baby food,,,
baby products,baby feeding,bibs & burp cloths,,,
baby products,baby feeding,booster chairs,,,
baby products,baby feeding,bottle feeding supplies,,,
baby products,baby feeding,bottle feeding supplies,baby bottles,,
baby products,baby feeding,bottle feeding supplies,baby formula,,
baby products,baby feeding,bottle feeding supplies,bottle bags,,
baby products,baby feeding,bottle feeding supplies,bottle brushes,,
baby products,baby feeding,bottle feeding supplies,bottle drying racks,,
baby products,baby feeding,bottle feeding supplies,bottle nipples,,
baby products,baby feeding,bottle feeding supplies,bottle sterilizers & cleaning supplies,,
baby products,baby feeding,bottle feeding supplies,bottle warmers,,
baby products,baby feeding,bottle feeding supplies,formula dispensers,,
baby products,baby feeding,breastfeeding & nursing,,,
baby products,baby feeding,breastfeeding & nursing,breast milk storage,,
baby products,baby feeding,breastfeeding & nursing,breast pump parts & accessories,,
baby products,baby feeding,breastfeeding & nursing,breast pumps,,
baby products,baby feeding,breastfeeding & nursing,nursing covers,,
baby products,baby feeding,breastfeeding & nursing,nursing pads & shields,,
baby products,baby feeding,breastfeeding & nursing,nursing pillows & pillow covers,,
baby products,baby feeding,food grinders & blenders,,,
baby products,baby feeding,high chairs,,,
baby products,baby feeding,utensils,,,
baby products,baby feeding,utensils,bowls & plates,,
baby products,baby feeding,utensils,cups & mugs,,
baby products,baby feeding,utensils,feeding sets,,
baby products,baby feeding,utensils,utensils,,
baby products,baby gear,,,,
baby products,baby gear,activity centers,,,
baby products,baby gear,baby swings,,,
baby products,baby gear,bouncers & vibrating chairs,,,
baby products,baby gear,jumpers & exercisers,,,
baby products,baby gear,play mats & gyms,,,
baby products,baby gear,play tents & shades,,,
baby products,baby gear,playpens,,,
